Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180923_2130_58,41000,0,0,71.61,506.9,578.51,0,0,0,0,0
20180923_2130_58,41051.25,0,0,71.61,506.893333333333,578.503333333333,0,0,0,0,0
20180923_2130_58,41102.56,0,0,71.61,506.88,578.49,0,0,0,0,0
20180923_2130_58,41153.94,0,0,71.61,506.9,578.51,0,0,0,0,0
20180923_2130_58,41205.38,0,0,71.61,506.876666666667,578.486666666667,0,0,0,0,0
20180923_2130_58,41256.89,0,0,71.6033333333333,506.83,578.433333333333,0,0,0,0,0
20180923_2130_59,41308.46,0,0,71.6,506.86,578.46,0,0,0,0,0
20180923_2130_59,41360.1,0,0,71.6,506.856666666667,578.456666666667,0,0,0,0,0
20180923_2130_59,41411.8,0,0,71.6,506.85,578.45,0,0,0,0,0
20180923_2130_59,41463.56,0,0,71.6,506.896666666667,578.496666666667,0,0,0,0,0
20180923_2130_59,41515.39,0,0,71.61,506.92,578.53,0,0,0,0,0
20180923_2130_59,41567.28,0,0,71.6233333333333,506.97,578.593333333333,0,0,0,0,0
20180923_2130_59,41619.24,0,0,71.63,506.943333333333,578.573333333333,0,0,0,0,0
20180923_2130_59,41671.26,0,0,71.65,506.93,578.58,0,0,0,0,0
20180923_2131_00,41723.35,0,0,71.6933333333333,506.99,578.683333333333,0,0,0,0,0
20180923_2131_00,41775.5,0,0,71.78,506.983333333333,578.763333333333,0,0,0,0,0
20180923_2131_00,41827.72,0,0,71.82,506.97,578.79,0,0,0,0,0
20180923_2131_00,41880,0,0,71.8533333333333,506.88,578.733333333333,0,0,0,0,0
20180923_2131_00,41932.35,0,0,71.92,506.873333333333,578.793333333333,0,0,0,0,0
20180923_2131_00,41984.77,0,0,72,506.86,578.86,0,0,0,0,0
20180923_2131_01,42037.25,0,0,72.0633333333333,506.78,578.843333333333,0,0,0,0,0
20180923_2131_01,42089.8,0,0,72.11,506.846666666667,578.956666666667,0,0,0,0,0
20180923_2131_01,42142.41,0,0,72.18,506.88,579.06,0,0,0,0,0
20180923_2131_01,42195.09,0,0,72.18,506.86,579.04,0,0,0,0,0
20180923_2131_01,42247.83,0,0,72.22,506.87,579.09,0,0,0,0,0
20180923_2131_01,42300.64,0,0,72.2266666666667,506.89,579.116666666667,0,0,0,0,0
20180923_2131_01,42353.52,0,0,72.23,506.943333333333,579.173333333333,0,0,0,0,0
20180923_2131_02,42406.46,0,0,72.24,506.97,579.21,0,0,0,0,0
20180923_2131_02,42459.47,0,0,72.2366666666667,506.9,579.136666666667,0,0,0,0,0
20180923_2131_02,42512.54,0,0,72.23,506.906666666667,579.136666666667,0,0,0,0,0
20180923_2131_02,42565.68,0,0,72.23,506.92,579.15,0,0,0,0,0
20180923_2131_02,42618.89,0,0,72.23,506.92,579.15,0,0,0,0,0
20180923_2131_02,42672.16,0,0,72.23,506.92,579.15,0,0,0,0,0
20180923_2131_02,42725.5,0,0,72.2366666666667,506.93,579.166666666667,0,0,0,0,0
20180923_2131_03,42778.91,0,0,72.2433333333333,506.976666666667,579.22,0,0,0,0,0
20180923_2131_03,42832.38,0,0,72.25,506.99,579.24,0,0,0,0,0
20180923_2131_03,42885.92,0,0,72.2433333333333,506.97,579.213333333333,0,0,0,0,0
20180923_2131_03,42939.53,0,0,72.24,506.993333333333,579.233333333333,0,0,0,0,0
20180923_2131_03,42993.2,0,0,72.26,507.04,579.3,0,0,0,0,0
20180923_2131_03,43046.94,0,0,72.28,507.01,579.29,0,0,0,0,0
20180923_2131_03,43100.75,0,0,72.29,506.996666666667,579.286666666667,0,0,0,0,0
20180923_2131_03,43154.63,0,0,72.36,506.99,579.35,0,0,0,0,0
20180923_2131_04,43208.57,0,0,72.36,507.06,579.42,0,0,0,0,0
20180923_2131_04,43262.58,0,0,72.56,507.026666666667,579.586666666667,0,0,0,0,0
20180923_2131_04,43316.66,0,0,72.67,506.96,579.63,0,0,0,0,0
20180923_2131_04,43370.81,0,0,72.6866666666667,507.04,579.726666666667,0,0,0,0,0
20180923_2131_04,43425.02,0,0,72.72,507.013333333333,579.733333333333,0,0,0,0,0
20180923_2131_04,43479.3,0,0,72.7866666666667,506.96,579.746666666667,0,0,0,0,0
20180923_2131_05,43533.65,0,0,72.83,507,579.83,0,0,0,0,0
20180923_2131_05,43588.07,0,0,72.85,507.006666666667,579.856666666667,0,0,0,0,0
20180923_2131_05,43642.56,0,0,72.86,507.01,579.87,0,0,0,0,0
20180923_2131_05,43697.11,0,0,72.8633333333333,507.03,579.893333333333,0,0,0,0,0
20180923_2131_05,43751.73,0,0,72.87,507.01,579.88,0,0,0,0,0
20180923_2131_05,43806.42,0,0,72.87,507,579.87,0,0,0,0,0
20180923_2131_05,43861.18,0,0,72.87,507,579.87,0,0,0,0,0
20180923_2131_06,43916.01,0,0,72.87,507,579.87,0,0,0,0,0
20180923_2131_06,43970.91,0,0,72.8766666666667,507.01,579.886666666667,0,0,0,0,0
20180923_2131_06,44025.87,0,0,72.88,507.003333333333,579.883333333333,0,0,0,0,0
20180923_2131_06,44080.9,0,0,72.93,507.023333333333,579.953333333333,0,0,0,0,0
20180923_2131_06,44136,0,0,73.11,507.07,580.18,0,0,0,0,0
20180923_2131_06,44191.17,0,0,73.11,507.07,580.18,0,0,0,0,0
20180923_2131_06,44246.41,0,0,73.42,507.03,580.45,0,0,0,0,0
20180923_2131_07,44301.72,0,0,73.46,506.95,580.41,0,0,0,0,0
20180923_2131_07,44357.1,0,0,73.47,506.98,580.45,0,0,0,0,0
20180923_2131_07,44412.55,0,0,73.49,506.98,580.47,0,0,0,0,0
20180923_2131_07,44468.07,0,0,73.4966666666667,507.06,580.556666666667,0,0,0,0,0
20180923_2131_07,44523.66,0,0,73.4966666666667,507.013333333333,580.51,0,0,0,0,0
20180923_2131_07,44579.31,0,0,73.49,507.036666666667,580.526666666667,0,0,0,0,0
20180923_2131_08,44635.03,0,0,73.52,507.13,580.65,0,0,0,0,0
20180923_2131_08,44690.82,0,0,73.52,506.99,580.51,0,0,0,0,0
20180923_2131_08,44746.68,0,0,73.76,507.01,580.77,0,0,0,0,0
20180923_2131_08,44802.61,0,0,74.09,507.05,581.14,0,0,0,0,0
20180923_2131_08,44858.61,0,0,74.09,507.02,581.11,0,0,0,0,0
20180923_2131_08,44914.68,0,0,74.12,507.02,581.14,0,0,0,0,0
20180923_2131_08,44970.82,0,0,74.1266666666667,507.09,581.216666666667,0,0,0,0,0
20180923_2131_09,45027.03,0,0,74.13,507.07,581.2,0,0,0,0,0
20180923_2131_09,45083.31,0,0,74.2,507.06,581.26,0,0,0,0,0
20180923_2131_09,45139.66,0,0,74.3733333333333,507.11,581.483333333333,0,0,0,0,0
20180923_2131_09,45196.08,0,0,74.46,507.09,581.55,0,0,0,0,0
20180923_2131_09,45252.58,0,0,74.74,507.08,581.82,0,0,0,0,0
20180923_2131_09,45309.15,0,0,74.7466666666667,507.07,581.816666666667,0,0,0,0,0
20180923_2131_09,45365.79,0,0,74.75,507.17,581.92,0,0,0,0,0
20180923_2131_10,45422.5,0,0,74.76,507.17,581.93,0,0,0,0,0
20180923_2131_10,45479.28,0,0,74.7733333333333,507.07,581.843333333333,0,0,0,0,0
20180923_2131_10,45536.13,0,0,74.8,507.09,581.89,0,0,0,0,0
20180923_2131_10,45593.05,0,0,75.26,507.1,582.36,0,0,0,0,0
20180923_2131_10,45650.04,0,0,75.3266666666667,507.05,582.376666666667,0,0,0,0,0
20180923_2131_10,45707.1,0,0,75.36,507.066666666667,582.426666666667,0,0,0,0,0
20180923_2131_10,45764.23,0,0,75.37,507.1,582.47,0,0,0,0,0
20180923_2131_11,45821.44,0,0,75.3866666666667,507.07,582.456666666667,0,0,0,0,0
20180923_2131_11,45878.72,0,0,75.42,507.04,582.46,0,0,0,0,0
20180923_2131_11,45936.07,0,0,75.82,506.98,582.8,0,0,0,0,0
20180923_2131_11,45993.49,0,0,75.82,507.06,582.88,0,0,0,0,0
20180923_2131_11,46050.98,0,0,75.99,507.1,583.09,0,0,0,0,0
20180923_2131_11,46108.54,0,0,75.9833333333333,506.98,582.963333333333,0,0,0,0,0
20180923_2131_11,46166.18,0,0,75.98,507.06,583.04,0,0,0,0,0
20180923_2131_12,46223.89,0,0,76,507.1,583.1,0,0,0,0,0
20180923_2131_12,46281.67,0,0,76.0066666666667,507.08,583.086666666667,0,0,0,0,0
20180923_2131_12,46339.52,0,0,76.02,507.06,583.08,0,0,0,0,0
20180923_2131_12,46397.44,0,0,76.36,507.05,583.41,0,0,0,0,0
20180923_2131_12,46455.44,0,0,76.5266666666667,507.12,583.646666666667,0,0,0,0,0
20180923_2131_12,46513.51,0,0,76.61,507.12,583.73,0,0,0,0,0
20180923_2131_12,46571.65,0,0,76.61,507.12,583.73,0,0,0,0,0
20180923_2131_13,46629.86,0,0,76.6133333333333,507.15,583.763333333333,0,0,0,0,0
20180923_2131_13,46688.15,0,0,76.62,507.13,583.75,0,0,0,0,0
20180923_2131_13,46746.51,0,0,76.61,507.12,583.73,0,0,0,0,0
20180923_2131_13,46804.94,0,0,76.63,507.2,583.83,0,0,0,0,0
20180923_2131_13,46863.45,0,0,76.67,507.196666666667,583.866666666667,0,0,0,0,0
20180923_2131_13,46922.03,0,0,76.94,507.19,584.13,0,0,0,0,0
20180923_2131_13,46980.68,0,0,77.0266666666667,507.15,584.176666666667,0,0,0,0,0
20180923_2131_14,47039.41,0,0,77.2,507.15,584.35,0,0,0,0,0
20180923_2131_14,47098.21,0,0,77.2266666666667,507.2,584.426666666667,0,0,0,0,0
20180923_2131_14,47157.08,0,0,77.24,507.206666666667,584.446666666667,0,0,0,0,0
