Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180920_1553_59,41000,0,0,74.2733333333333,506.6,580.873333333333,0,0,0,0,0
20180920_1553_59,41051.25,0,0,74.28,506.6,580.88,0,0,0,0,0
20180920_1553_59,41102.56,0,0,74.2933333333333,506.49,580.783333333333,0,0,0,0,0
20180920_1553_59,41153.94,0,0,74.3033333333333,506.55,580.853333333333,0,0,0,0,0
20180920_1554_00,41205.38,0,0,74.31,506.55,580.86,0,0,0,0,0
20180920_1554_00,41256.89,0,0,74.36,506.55,580.91,0,0,0,0,0
20180920_1554_00,41308.46,0,0,74.3933333333333,506.53,580.923333333333,0,0,0,0,0
20180920_1554_00,41360.1,0,0,74.46,506.553333333333,581.013333333333,0,0,0,0,0
20180920_1554_00,41411.8,0,0,74.5,506.62,581.12,0,0,0,0,0
20180920_1554_00,41463.56,0,0,74.52,506.64,581.16,0,0,0,0,0
20180920_1554_00,41515.39,0,0,74.62,506.65,581.27,0,0,0,0,0
20180920_1554_01,41567.28,0,0,74.6633333333333,506.64,581.303333333333,0,0,0,0,0
20180920_1554_01,41619.24,0,0,74.75,506.653333333333,581.403333333333,0,0,0,0,0
20180920_1554_01,41671.26,0,0,74.83,506.68,581.51,0,0,0,0,0
20180920_1554_01,41723.35,0,0,74.83,506.67,581.5,0,0,0,0,0
20180920_1554_01,41775.5,0,0,74.87,506.67,581.54,0,0,0,0,0
20180920_1554_01,41827.72,0,0,74.8766666666667,506.71,581.586666666667,0,0,0,0,0
20180920_1554_01,41880,0,0,74.88,506.69,581.57,0,0,0,0,0
20180920_1554_02,41932.35,0,0,74.89,506.68,581.57,0,0,0,0,0
20180920_1554_02,41984.77,0,0,74.89,506.69,581.58,0,0,0,0,0
20180920_1554_02,42037.25,0,0,74.89,506.696666666667,581.586666666667,0,0,0,0,0
20180920_1554_02,42089.8,0,0,74.89,506.71,581.6,0,0,0,0,0
20180920_1554_02,42142.41,0,0,74.8866666666667,506.67,581.556666666667,0,0,0,0,0
20180920_1554_02,42195.09,0,0,74.88,506.67,581.55,0,0,0,0,0
20180920_1554_02,42247.83,0,0,74.8866666666667,506.73,581.616666666667,0,0,0,0,0
20180920_1554_03,42300.64,0,0,74.89,506.73,581.62,0,0,0,0,0
20180920_1554_03,42353.52,0,0,74.89,506.73,581.62,0,0,0,0,0
20180920_1554_03,42406.46,0,0,74.89,506.71,581.6,0,0,0,0,0
20180920_1554_03,42459.47,0,0,74.89,506.69,581.58,0,0,0,0,0
20180920_1554_03,42512.54,0,0,74.88,506.68,581.56,0,0,0,0,0
20180920_1554_03,42565.68,0,0,74.88,506.69,581.57,0,0,0,0,0
20180920_1554_03,42618.89,0,0,74.88,506.706666666667,581.586666666667,0,0,0,0,0
