Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20180923_2144_27,41000,0,0,76.49,504.46,580.95,0,0,0,0,0
20180923_2144_27,41051.25,0,0,76.51,504.46,580.97,0,0,0,0,0
20180923_2144_27,41102.56,0,0,76.6166666666667,504.46,581.076666666667,0,0,0,0,0
20180923_2144_27,41153.94,0,0,76.67,504.446666666667,581.116666666667,0,0,0,0,0
20180923_2144_27,41205.38,0,0,76.78,504.44,581.22,0,0,0,0,0
20180923_2144_27,41256.89,0,0,76.7866666666667,504.46,581.246666666667,0,0,0,0,0
20180923_2144_28,41308.46,0,0,76.79,504.46,581.25,0,0,0,0,0
20180923_2144_28,41360.1,0,0,76.79,504.46,581.25,0,0,0,0,0
20180923_2144_28,41411.8,0,0,76.7966666666667,504.44,581.236666666667,0,0,0,0,0
20180923_2144_28,41463.56,0,0,76.81,504.453333333333,581.263333333333,0,0,0,0,0
20180923_2144_28,41515.39,0,0,77.03,504.46,581.49,0,0,0,0,0
20180923_2144_28,41567.28,0,0,77.03,504.46,581.49,0,0,0,0,0
20180923_2144_28,41619.24,0,0,77.4,504.46,581.86,0,0,0,0,0
20180923_2144_29,41671.26,0,0,77.4033333333333,504.44,581.843333333333,0,0,0,0,0
20180923_2144_29,41723.35,0,0,77.41,504.433333333333,581.843333333333,0,0,0,0,0
20180923_2144_29,41775.5,0,0,77.41,504.43,581.84,0,0,0,0,0
20180923_2144_29,41827.72,0,0,77.4166666666667,504.46,581.876666666667,0,0,0,0,0
20180923_2144_29,41880,0,0,77.42,504.46,581.88,0,0,0,0,0
20180923_2144_29,41932.35,0,0,77.81,504.46,582.27,0,0,0,0,0
20180923_2144_29,41984.77,0,0,77.9633333333334,504.46,582.423333333333,0,0,0,0,0
20180923_2144_30,42037.25,0,0,78.04,504.46,582.5,0,0,0,0,0
20180923_2144_30,42089.8,0,0,78.66,504.46,583.12,0,0,0,0,0
20180923_2144_30,42142.41,0,0,78.8666666666667,504.46,583.326666666667,0,0,0,0,0
20180923_2144_30,42195.09,0,0,79.28,504.46,583.74,0,0,0,0,0
20180923_2144_30,42247.83,0,0,79.28,504.46,583.74,0,0,0,0,0
20180923_2144_30,42300.64,0,0,79.1533333333333,504.46,583.613333333333,0,0,0,0,0
20180923_2144_30,42353.52,0,0,78.9,504.46,583.36,0,0,0,0,0
20180923_2144_31,42406.46,0,0,79.05,504.46,583.51,0,0,0,0,0
20180923_2144_31,42459.47,0,0,79.1833333333333,504.46,583.643333333333,0,0,0,0,0
20180923_2144_31,42512.54,0,0,79.25,504.46,583.71,0,0,0,0,0
20180923_2144_31,42565.68,0,0,79.29,504.46,583.75,0,0,0,0,0
20180923_2144_31,42618.89,0,0,79.3033333333333,504.46,583.763333333333,0,0,0,0,0
20180923_2144_31,42672.16,0,0,79.33,504.46,583.79,0,0,0,0,0
20180923_2144_31,42725.5,0,0,79.57,504.46,584.03,0,0,0,0,0
20180923_2144_32,42778.91,0,0,79.79,504.46,584.25,0,0,0,0,0
20180923_2144_32,42832.38,0,0,79.9,504.46,584.36,0,0,0,0,0
20180923_2144_32,42885.92,0,0,79.91,504.46,584.37,0,0,0,0,0
20180923_2144_32,42939.53,0,0,79.91,504.46,584.37,0,0,0,0,0
20180923_2144_32,42993.2,0,0,79.91,504.46,584.37,0,0,0,0,0
20180923_2144_32,43046.94,0,0,79.92,504.46,584.38,0,0,0,0,0
20180923_2144_32,43100.75,0,0,79.92,504.46,584.38,0,0,0,0,0
20180923_2144_33,43154.63,0,0,80.31,504.46,584.77,0,0,0,0,0
20180923_2144_33,43208.57,0,0,80.53,504.46,584.99,0,0,0,0,0
20180923_2144_33,43262.58,0,0,80.53,504.46,584.99,0,0,0,0,0
20180923_2144_33,43316.66,0,0,80.53,504.46,584.99,0,0,0,0,0
20180923_2144_33,43370.81,0,0,80.53,504.46,584.99,0,0,0,0,0
20180923_2144_33,43425.02,0,0,80.53,504.46,584.99,0,0,0,0,0
20180923_2144_33,43479.3,0,0,80.54,504.46,585,0,0,0,0,0
20180923_2144_34,43533.65,0,0,80.5866666666667,504.46,585.046666666667,0,0,0,0,0
20180923_2144_34,43588.07,0,0,80.61,504.46,585.07,0,0,0,0,0
20180923_2144_34,43642.56,0,0,80.82,504.46,585.28,0,0,0,0,0
20180923_2144_34,43697.11,0,0,81.0333333333333,504.44,585.473333333333,0,0,0,0,0
20180923_2144_34,43751.73,0,0,81.14,504.453333333333,585.593333333333,0,0,0,0,0
20180923_2144_34,43806.42,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_34,43861.18,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_35,43916.01,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_35,43970.91,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_35,44025.87,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_35,44080.9,0,0,81.16,504.46,585.62,0,0,0,0,0
20180923_2144_35,44136,0,0,81.1733333333333,504.48,585.653333333333,0,0,0,0,0
20180923_2144_35,44191.17,0,0,81.19,504.45,585.64,0,0,0,0,0
20180923_2144_36,44246.41,0,0,81.21,504.456666666667,585.666666666667,0,0,0,0,0
20180923_2144_36,44301.72,0,0,81.28,504.47,585.75,0,0,0,0,0
20180923_2144_36,44357.1,0,0,81.28,504.47,585.75,0,0,0,0,0
20180923_2144_36,44412.55,0,0,81.59,504.47,586.06,0,0,0,0,0
20180923_2144_36,44468.07,0,0,81.6833333333333,504.47,586.153333333333,0,0,0,0,0
20180923_2144_36,44523.66,0,0,81.73,504.476666666667,586.206666666667,0,0,0,0,0
20180923_2144_36,44579.31,0,0,81.77,504.48,586.25,0,0,0,0,0
20180923_2144_36,44635.03,0,0,81.7733333333333,504.48,586.253333333333,0,0,0,0,0
20180923_2144_37,44690.82,0,0,81.78,504.48,586.26,0,0,0,0,0
20180923_2144_37,44746.68,0,0,81.78,504.48,586.26,0,0,0,0,0
20180923_2144_37,44802.61,0,0,81.78,504.47,586.25,0,0,0,0,0
20180923_2144_37,44858.61,0,0,81.78,504.47,586.25,0,0,0,0,0
20180923_2144_37,44914.68,0,0,81.78,504.48,586.26,0,0,0,0,0
20180923_2144_37,44970.82,0,0,81.7833333333333,504.486666666667,586.27,0,0,0,0,0
20180923_2144_38,45027.03,0,0,81.79,504.496666666667,586.286666666667,0,0,0,0,0
20180923_2144_38,45083.31,0,0,81.84,504.51,586.35,0,0,0,0,0
20180923_2144_38,45139.66,0,0,81.8666666666667,504.49,586.356666666667,0,0,0,0,0
20180923_2144_38,45196.08,0,0,81.92,504.503333333333,586.423333333333,0,0,0,0,0
20180923_2144_38,45252.58,0,0,82.04,504.53,586.57,0,0,0,0,0
20180923_2144_38,45309.15,0,0,82.0966666666667,504.55,586.646666666667,0,0,0,0,0
20180923_2144_38,45365.79,0,0,82.21,504.55,586.76,0,0,0,0,0
20180923_2144_39,45422.5,0,0,82.2966666666667,504.55,586.846666666667,0,0,0,0,0
20180923_2144_39,45479.28,0,0,82.34,504.57,586.91,0,0,0,0,0
20180923_2144_39,45536.13,0,0,82.39,504.59,586.98,0,0,0,0,0
20180923_2144_39,45593.05,0,0,82.3966666666667,504.61,587.006666666667,0,0,0,0,0
20180923_2144_39,45650.04,0,0,82.4,504.623333333333,587.023333333333,0,0,0,0,0
20180923_2144_39,45707.1,0,0,82.41,504.63,587.04,0,0,0,0,0
20180923_2144_39,45764.23,0,0,82.41,504.63,587.04,0,0,0,0,0
20180923_2144_40,45821.44,0,0,82.41,504.68,587.09,0,0,0,0,0
20180923_2144_40,45878.72,0,0,82.41,504.68,587.09,0,0,0,0,0
20180923_2144_40,45936.07,0,0,82.41,504.72,587.13,0,0,0,0,0
20180923_2144_40,45993.49,0,0,82.41,504.753333333333,587.163333333333,0,0,0,0,0
20180923_2144_40,46050.98,0,0,82.41,504.78,587.19,0,0,0,0,0
20180923_2144_40,46108.54,0,0,82.41,504.8,587.21,0,0,0,0,0
20180923_2144_40,46166.18,0,0,82.41,504.813333333333,587.223333333333,0,0,0,0,0
20180923_2144_41,46223.89,0,0,82.41,504.82,587.23,0,0,0,0,0
20180923_2144_41,46281.67,0,0,82.4366666666667,504.8,587.236666666667,0,0,0,0,0
20180923_2144_41,46339.52,0,0,82.45,504.893333333333,587.343333333333,0,0,0,0,0
20180923_2144_41,46397.44,0,0,82.56,504.94,587.5,0,0,0,0,0
20180923_2144_41,46455.44,0,0,82.6466666666667,504.93,587.576666666667,0,0,0,0,0
20180923_2144_41,46513.51,0,0,82.82,504.883333333333,587.703333333333,0,0,0,0,0
20180923_2144_42,46571.65,0,0,83.02,504.81,587.83,0,0,0,0,0
20180923_2144_42,46629.86,0,0,83.0266666666667,504.71,587.736666666667,0,0,0,0,0
20180923_2144_42,46688.15,0,0,83.03,504.77,587.8,0,0,0,0,0
20180923_2144_42,46746.51,0,0,83.03,504.783333333333,587.813333333333,0,0,0,0,0
20180923_2144_42,46804.94,0,0,83.03,504.81,587.84,0,0,0,0,0
20180923_2144_42,46863.45,0,0,83.03,504.82,587.85,0,0,0,0,0
20180923_2144_42,46922.03,0,0,83.03,504.82,587.85,0,0,0,0,0
20180923_2144_43,46980.68,0,0,83.03,504.82,587.85,0,0,0,0,0
20180923_2144_43,47039.41,0,0,83.03,504.853333333333,587.883333333333,0,0,0,0,0
20180923_2144_43,47098.21,0,0,83.03,504.88,587.91,0,0,0,0,0
20180923_2144_43,47157.08,0,0,83.0366666666667,504.9,587.936666666667,0,0,0,0,0
20180923_2144_43,47216.03,0,0,83.04,504.9,587.94,0,0,0,0,0
20180923_2144_43,47275.05,0,0,83.07,504.9,587.97,0,0,0,0,0
20180923_2144_43,47334.14,0,0,83.11,504.96,588.07,0,0,0,0,0
20180923_2144_44,47393.31,0,0,83.19,504.963333333333,588.153333333333,0,0,0,0,0
20180923_2144_44,47452.55,0,0,83.2433333333333,504.97,588.213333333333,0,0,0,0,0
20180923_2144_44,47511.87,0,0,83.27,504.983333333333,588.253333333333,0,0,0,0,0
20180923_2144_44,47571.26,0,0,83.36,504.99,588.35,0,0,0,0,0
20180923_2144_44,47630.72,0,0,83.4933333333333,504.99,588.483333333333,0,0,0,0,0
20180923_2144_44,47690.26,0,0,83.5866666666667,504.99,588.576666666667,0,0,0,0,0
20180923_2144_44,47749.87,0,0,83.64,504.99,588.63,0,0,0,0,0
20180923_2144_45,47809.56,0,0,83.6466666666667,505.01,588.656666666667,0,0,0,0,0
20180923_2144_45,47869.32,0,0,83.65,505.016666666667,588.666666666667,0,0,0,0,0
20180923_2144_45,47929.16,0,0,83.65,505.02,588.67,0,0,0,0,0
20180923_2144_45,47989.07,0,0,83.6566666666667,505.04,588.696666666667,0,0,0,0,0
20180923_2144_45,48049.06,0,0,83.66,505.043333333333,588.703333333333,0,0,0,0,0
20180923_2144_45,48109.12,0,0,83.66,505.05,588.71,0,0,0,0,0
20180923_2144_45,48169.26,0,0,83.66,505.05,588.71,0,0,0,0,0
20180923_2144_46,48229.47,0,0,83.66,505.053333333333,588.713333333333,0,0,0,0,0
20180923_2144_46,48289.76,0,0,83.66,505.06,588.72,0,0,0,0,0
20180923_2144_46,48350.12,0,0,83.66,505.05,588.71,0,0,0,0,0
20180923_2144_46,48410.56,0,0,83.66,505.05,588.71,0,0,0,0,0
20180923_2144_46,48471.07,0,0,83.68,505.06,588.74,0,0,0,0,0
20180923_2144_46,48531.66,0,0,83.7133333333333,505.06,588.773333333333,0,0,0,0,0
20180923_2144_46,48592.32,0,0,83.76,505.06,588.82,0,0,0,0,0
20180923_2144_47,48653.06,0,0,83.92,505,588.92,0,0,0,0,0
20180923_2144_47,48713.88,0,0,84,504.9,588.9,0,0,0,0,0
20180923_2144_47,48774.77,0,0,84.27,504.85,589.12,0,0,0,0,0
20180923_2144_47,48835.74,0,0,84.2966666666667,504.52,588.816666666667,0,0,0,0,0
20180923_2144_47,48896.78,0,0,84.31,504.506666666667,588.816666666667,0,0,0,0,0
20180923_2144_47,48957.9,0,0,84.35,504.5,588.85,0,0,0,0,0
20180923_2144_47,49019.1,0,0,84.5266666666667,504.46,588.986666666667,0,0,0,0,0
20180923_2144_48,49080.37,0,0,84.88,504.446666666667,589.326666666667,0,0,0,0,0
20180923_2144_48,49141.72,0,0,84.94,504.44,589.38,0,0,0,0,0
20180923_2144_48,49203.15,0,0,85.0133333333333,504.46,589.473333333333,0,0,0,0,0
20180923_2144_48,49264.65,0,0,85.16,504.46,589.62,0,0,0,0,0
20180923_2144_48,49326.23,0,0,85.3,504.46,589.76,0,0,0,0,0
20180923_2144_48,49387.89,0,0,85.04,504.45,589.49,0,0,0,0,0
20180923_2144_48,49449.62,0,0,84.91,504.456666666667,589.366666666667,0,0,0,0,0
20180923_2144_49,49511.43,0,0,84.91,504.46,589.37,0,0,0,0,0
20180923_2144_49,49573.32,0,0,85.0366666666667,504.45,589.486666666667,0,0,0,0,0
20180923_2144_49,49635.29,0,0,85.29,504.443333333333,589.733333333333,0,0,0,0,0
20180923_2144_49,49697.33,0,0,85.53,504.443333333333,589.973333333333,0,0,0,0,0
20180923_2144_49,49759.45,0,0,85.5633333333333,504.45,590.013333333333,0,0,0,0,0
20180923_2144_49,49821.65,0,0,85.58,504.436666666667,590.016666666667,0,0,0,0,0
20180923_2144_50,49883.93,0,0,86.16,504.386666666667,590.546666666667,0,0,0,0,0
20180923_2144_50,49946.28,0,0,86.71,504.3,591.01,0,0,0,0,0
20180923_2144_50,50008.71,0,0,86.71,503.88,590.59,0,0,0,0,0
20180923_2144_50,50071.22,0,0,86.04,503.98,590.02,0,0,0,0,0
20180923_2144_50,50133.81,0,0,85.53,504.18,589.71,0,0,0,0,0
20180923_2144_50,50196.48,0,0,85.5166666666667,504.38,589.896666666667,0,0,0,0,0
20180923_2144_50,50259.23,0,0,85.51,504.38,589.89,0,0,0,0,0
20180923_2144_51,50322.05,0,0,85.53,504.38,589.91,0,0,0,0,0
20180923_2144_51,50384.95,0,0,85.5533333333333,504.3,589.853333333333,0,0,0,0,0
20180923_2144_51,50447.93,0,0,85.6,504.173333333333,589.773333333333,0,0,0,0,0
20180923_2144_51,50510.99,0,0,85.62,504.11,589.73,0,0,0,0,0
20180923_2144_51,50574.13,0,0,85.43,504.17,589.6,0,0,0,0,0
20180923_2144_51,50637.35,0,0,85.05,504.233333333333,589.283333333333,0,0,0,0,0
20180923_2144_51,50700.65,0,0,84.87,504.36,589.23,0,0,0,0,0
20180923_2144_52,50764.03,0,0,84.68,504.42,589.1,0,0,0,0,0
20180923_2144_52,50827.49,0,0,84.3,504.43,588.73,0,0,0,0,0
20180923_2144_52,50891.02,0,0,84.3133333333333,504.45,588.763333333333,0,0,0,0,0
20180923_2144_52,50954.63,0,0,84.32,504.443333333333,588.763333333333,0,0,0,0,0
20180923_2144_52,51018.32,0,0,84.9,504.44,589.34,0,0,0,0,0
20180923_2144_52,51082.09,0,0,84.9066666666667,504.46,589.366666666667,0,0,0,0,0
20180923_2144_52,51145.94,0,0,84.91,504.46,589.37,0,0,0,0,0
20180923_2144_53,51209.87,0,0,85.33,504.46,589.79,0,0,0,0,0
20180923_2144_53,51273.88,0,0,85.3966666666667,504.46,589.856666666667,0,0,0,0,0
20180923_2144_53,51337.97,0,0,85.53,504.46,589.99,0,0,0,0,0
20180923_2144_53,51402.14,0,0,85.53,504.46,589.99,0,0,0,0,0
20180923_2144_53,51466.39,0,0,85.5266666666667,504.46,589.986666666667,0,0,0,0,0
20180923_2144_53,51530.72,0,0,85.52,504.46,589.98,0,0,0,0,0
20180923_2144_53,51595.13,0,0,85.53,504.46,589.99,0,0,0,0,0
20180923_2144_54,51659.62,0,0,85.53,504.44,589.97,0,0,0,0,0
20180923_2144_54,51724.19,0,0,85.53,504.446666666667,589.976666666667,0,0,0,0,0
20180923_2144_54,51788.85,0,0,85.53,504.46,589.99,0,0,0,0,0
20180923_2144_54,51853.59,0,0,85.53,504.44,589.97,0,0,0,0,0
20180923_2144_54,51918.41,0,0,85.53,504.453333333333,589.983333333333,0,0,0,0,0
20180923_2144_54,51983.31,0,0,85.53,504.46,589.99,0,0,0,0,0
20180923_2144_55,52048.29,0,0,85.55,504.46,590.01,0,0,0,0,0
20180923_2144_55,52113.35,0,0,85.59,504.463333333333,590.053333333333,0,0,0,0,0
20180923_2144_55,52178.49,0,0,85.83,504.47,590.3,0,0,0,0,0
20180923_2144_55,52243.71,0,0,86.01,504.46,590.47,0,0,0,0,0
20180923_2144_55,52309.01,0,0,86.1,504.46,590.56,0,0,0,0,0
20180923_2144_55,52374.4,0,0,86.15,504.46,590.61,0,0,0,0,0
20180923_2144_55,52439.87,0,0,86.15,504.46,590.61,0,0,0,0,0
20180923_2144_56,52505.42,0,0,86.15,504.463333333333,590.613333333333,0,0,0,0,0
20180923_2144_56,52571.05,0,0,86.15,504.47,590.62,0,0,0,0,0
20180923_2144_56,52636.76,0,0,86.17,504.47,590.64,0,0,0,0,0
20180923_2144_56,52702.56,0,0,86.21,504.47,590.68,0,0,0,0,0
20180923_2144_56,52768.44,0,0,86.59,504.46,591.05,0,0,0,0,0
20180923_2144_56,52834.4,0,0,86.9866666666667,504.46,591.446666666667,0,0,0,0,0
20180923_2144_56,52900.44,0,0,87.4,504.46,591.86,0,0,0,0,0
20180923_2144_57,52966.57,0,0,88.04,504.46,592.5,0,0,0,0,0
20180923_2144_57,53032.78,0,0,88.04,504.46,592.5,0,0,0,0,0
20180923_2144_57,53099.07,0,0,88.07,504.463333333333,592.533333333333,0,0,0,0,0
20180923_2144_57,53165.44,0,0,87.89,504.47,592.36,0,0,0,0,0
20180923_2144_57,53231.9,0,0,87.89,504.47,592.36,0,0,0,0,0
20180923_2144_57,53298.44,0,0,87.47,504.47,591.94,0,0,0,0,0
20180923_2144_57,53365.06,0,0,87.51,504.49,592,0,0,0,0,0
20180923_2144_58,53431.77,0,0,87.53,504.503333333333,592.033333333333,0,0,0,0,0
20180923_2144_58,53498.56,0,0,87.89,504.51,592.4,0,0,0,0,0
20180923_2144_58,53565.43,0,0,87.9366666666667,504.53,592.466666666667,0,0,0,0,0
20180923_2144_58,53632.39,0,0,88.03,504.536666666667,592.566666666667,0,0,0,0,0
20180923_2144_58,53699.43,0,0,88.17,504.55,592.72,0,0,0,0,0
20180923_2144_58,53766.55,0,0,88.49,504.6,593.09,0,0,0,0,0
20180923_2144_58,53833.76,0,0,88.65,504.61,593.26,0,0,0,0,0
20180923_2144_59,53901.05,0,0,89.43,504.63,594.06,0,0,0,0,0
20180923_2144_59,53968.43,0,0,90.21,504.46,594.67,0,0,0,0,0
