Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20181217_1044_53,20000,0,0,68.01,505.34,573.35,0,0,0,0,0
20181217_1044_53,20050,0,0,68.01,505.34,573.35,0,0,0,0,0
20181217_1044_53,20100.125,0,0,68.01,505.34,573.35,0,0,0,0,0
20181217_1044_53,20150.37531,0,0,68.01,505.3,573.31,0,0,0,0,0
20181217_1044_53,20200.75125,0,0,68.01,505.3,573.31,0,0,0,0,0
20181217_1044_53,20251.25313,0,0,68,505.3,573.3,0,0,0,0,0
20181217_1044_53,20301.88126,0,0,68,505.3,573.3,0,0,0,0,0
20181217_1044_53,20352.63596,0,0,68,505.3,573.3,0,0,0,0,0
20181217_1044_53,20403.51755,0,0,68,505.37,573.37,0,0,0,0,0
20181217_1044_53,20454.52634,0,0,67.44,505.37,572.81,0,0,0,0,0
20181217_1044_53,20505.66266,0,0,67.44,505.37,572.81,0,0,0,0,0
20181217_1044_53,20556.92682,0,0,67.44,505.31,572.75,0,0,0,0,0
20181217_1044_53,20608.31914,0,0,67.38,505.31,572.69,0,0,0,0,0
20181217_1044_53,20659.83994,0,0,67.38,505.31,572.69,0,0,0,0,0
20181217_1044_53,20711.48954,0,0,67.38,505.31,572.69,0,0,0,0,0
20181217_1044_53,20763.26826,0,0,67.38,505.42,572.8,0,0,0,0,0
20181217_1044_53,20815.17643,0,0,67.38,505.42,572.8,0,0,0,0,0
20181217_1044_53,20867.21437,0,0,67.07,505.42,572.49,0,0,0,0,0
20181217_1044_54,20919.38241,0,0,67.07,505.42,572.49,0,0,0,0,0
20181217_1044_54,20971.68087,0,0,67.07,505.42,572.49,0,0,0,0,0
20181217_1044_54,21024.11007,0,0,67.07,505.44,572.51,0,0,0,0,0
20181217_1044_54,21076.67035,0,0,66.77,505.44,572.21,0,0,0,0,0
20181217_1044_54,21129.36203,0,0,66.77,505.44,572.21,0,0,0,0,0
20181217_1044_54,21182.18544,0,0,66.77,505.35,572.12,0,0,0,0,0
20181217_1044_54,21235.1409,0,0,66.66,505.35,572.01,0,0,0,0,0
20181217_1044_54,21288.22875,0,0,66.66,505.35,572.01,0,0,0,0,0
20181217_1044_54,21341.44932,0,0,66.66,505.35,572.01,0,0,0,0,0
20181217_1044_54,21394.80294,0,0,66.66,505.37,572.03,0,0,0,0,0
20181217_1044_54,21448.28995,0,0,66.66,505.37,572.03,0,0,0,0,0
20181217_1044_54,21501.91067,0,0,66.26,505.37,571.63,0,0,0,0,0
20181217_1044_54,21555.66545,0,0,66.26,505.37,571.63,0,0,0,0,0
20181217_1044_54,21609.55461,0,0,66.26,505.4,571.66,0,0,0,0,0
20181217_1044_54,21663.5785,0,0,66.26,505.4,571.66,0,0,0,0,0
20181217_1044_54,21717.73745,0,0,66.15,505.4,571.55,0,0,0,0,0
20181217_1044_54,21772.03179,0,0,66.15,505.4,571.55,0,0,0,0,0
20181217_1044_54,21826.46187,0,0,66.15,505.4,571.55,0,0,0,0,0
20181217_1044_55,21881.02802,0,0,66.15,505.4,571.55,0,0,0,0,0
20181217_1044_55,21935.73059,0,0,66.14,505.4,571.54,0,0,0,0,0
20181217_1044_55,21990.56992,0,0,66.14,505.4,571.54,0,0,0,0,0
20181217_1044_55,22045.54634,0,0,66.14,505.4,571.54,0,0,0,0,0
20181217_1044_55,22100.66021,0,0,66.14,505.4,571.54,0,0,0,0,0
20181217_1044_55,22155.91186,0,0,66.13,505.4,571.53,0,0,0,0,0
