#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FEC1
#Date Time: 2018-11-30 13:32:30.339

Time (s),Math 1 (V)
-5,-0.046058
-4.99875,-0.0158137
-4.9975,0.0123823
-4.99625,0.0264756
-4.995,0.0338568
-4.99375,0.0405967
-4.9925,0.0766492
-4.99125,0.081424
-4.99,0.0397528
-4.98875,0.0118658
-4.9875,-0.0132993
-4.98625,-0.0263824
-4.985,-0.0334267
-4.98375,-0.0401713
-4.9825,-0.0735251
-4.98125,-0.0806572
-4.98,-0.046058
-4.97875,-0.0158091
-4.9775,0.0120455
-4.97625,0.0264756
-4.975,0.0338568
-4.97375,0.04026
-4.9725,0.0763125
-4.97125,0.0817608
-4.97,0.0400895
-4.96875,0.0118612
-4.9675,-0.0129625
-4.96625,-0.0263824
-4.965,-0.0334267
-4.96375,-0.0398345
-4.9625,-0.0731883
-4.96125,-0.080994
-4.96,-0.0463948
-4.95875,-0.0161459
-4.9575,0.0120455
-4.95625,0.0264756
-4.955,0.0338568
-4.95375,0.04026
-4.9525,0.0759757
-4.95125,0.0820976
-4.95,0.0404263
-4.94875,0.012198
-4.9475,-0.0129625
-4.94625,-0.0260456
-4.945,-0.0334267
-4.94375,-0.0398345
-4.9425,-0.0728515
-4.94125,-0.0813308
-4.94,-0.0463948
-4.93875,-0.0161459
-4.9375,0.0117087
-4.93625,0.0264756
-4.935,0.03352
-4.93375,0.0399232
-4.9325,0.0756343
-4.93125,0.0820929
-4.93,0.0407631
-4.92875,0.0125347
-4.9275,-0.0129671
-4.92625,-0.0260456
-4.925,-0.0334313
-4.92375,-0.0394978
-4.9225,-0.0728515
-4.92125,-0.0816675
-4.92,-0.0467316
-4.91875,-0.0164826
-4.9175,0.0117087
-4.91625,0.0264756
-4.915,0.03352
-4.91375,0.0399232
-4.9125,0.0752975
-4.91125,0.0820929
-4.91,0.0410998
-4.90875,0.0128715
-4.9075,-0.0126304
-4.90625,-0.026387
-4.905,-0.0334313
-4.90375,-0.0394978
-4.9025,-0.0725148
-4.90125,-0.0816675
-4.9,-0.0470683
-4.89875,-0.0168194
-4.8975,0.0117133
-4.89625,0.0261389
-4.895,0.03352
-4.89375,0.0395864
-4.8925,0.0753022
-4.89125,0.0824297
-4.89,0.0410952
-4.88875,0.0128715
-4.8875,-0.0126304
-4.88625,-0.026387
-4.885,-0.0334313
-4.88375,-0.0394978
-4.8825,-0.0725148
-4.88125,-0.0816629
-4.88,-0.0474051
-4.87875,-0.0171562
-4.8775,0.0110352
-4.87625,0.0261389
-4.875,0.03352
-4.87375,0.0395864
-4.8725,0.074624
-4.87125,0.0824297
-4.87,0.0414366
-4.86875,0.0132083
-4.8675,-0.0122936
-4.86625,-0.026387
-4.865,-0.0334313
-4.86375,-0.0394978
-4.8625,-0.0718412
-4.86125,-0.0819997
-4.86,-0.0474051
-4.85875,-0.0174929
-4.8575,0.0113766
-4.85625,0.0261389
-4.855,0.03352
-4.85375,0.0395864
-4.8525,0.074624
-4.85125,0.0827665
-4.85,0.041432
-4.84875,0.0132036
-4.8475,-0.0122936
-4.84625,-0.026387
-4.845,-0.0334313
-4.84375,-0.0394978
-4.8425,-0.0718412
-4.84125,-0.0819997
-4.84,-0.0480786
-4.83875,-0.0178297
-4.8375,0.0113766
-4.83625,0.0258021
-4.835,0.0331832
-4.83375,0.0392497
-4.8325,0.0739505
-4.83125,0.0827619
-4.83,0.0417687
-4.82875,0.0135404
-4.8275,-0.0119568
-4.82625,-0.0260502
-4.825,-0.0330946
-4.82375,-0.039161
-4.8225,-0.0715045
-4.82125,-0.0823364
-4.82,-0.0484154
-4.81875,-0.0178251
-4.8175,0.0110398
-4.81625,0.0258021
-4.815,0.0331832
-4.81375,0.0392497
-4.8125,0.0739505
-4.81125,0.08344
-4.81,0.0421055
-4.80875,0.0138772
-4.8075,-0.0116201
-4.80625,-0.0260502
-4.805,-0.0330946
-4.80375,-0.039161
-4.8025,-0.0715045
-4.80125,-0.0826732
-4.8,-0.0484154
-4.79875,-0.0181619
-4.7975,0.010703
-4.79625,0.0261435
-4.795,0.0331832
-4.79375,0.0392497
-4.7925,0.0739505
-4.79125,0.0834354
-4.79,0.0424423
-4.78875,0.0138772
-4.7875,-0.0116201
-4.78625,-0.0260502
-4.785,-0.0330946
-4.78375,-0.039161
-4.7825,-0.0711677
-4.78125,-0.0826732
-4.78,-0.0484108
-4.77875,-0.0184986
-4.7775,0.0103663
-4.77625,0.0258021
-4.775,0.0331832
-4.77375,0.0392497
-4.7725,0.0736137
-4.77125,0.0837722
-4.77,0.042779
-4.76875,0.0142139
-4.7675,-0.0116247
-4.76625,-0.0260502
-4.765,-0.0330946
-4.76375,-0.0388242
-4.7625,-0.0708309
-4.76125,-0.08301
-4.76,-0.0490889
-4.75875,-0.0184986
-4.7575,0.0103663
-4.75625,0.0258067
-4.755,0.0331832
-4.75375,0.0392497
-4.7525,0.0736137
-4.75125,0.0837722
-4.75,0.0431158
-4.74875,0.0145507
-4.7475,-0.0112833
-4.74625,-0.0260502
-4.745,-0.0330946
-4.74375,-0.0388242
-4.7425,-0.0704942
-4.74125,-0.0830053
-4.74,-0.0490843
-4.73875,-0.0188354
-4.7375,0.0103709
-4.73625,0.0254653
-4.735,0.0331832
-4.73375,0.0389129
-4.7325,0.0729402
-4.73125,0.0834354
-4.73,0.042779
-4.72875,0.0142139
-4.7275,-0.0112879
-4.72625,-0.0257134
-4.725,-0.0327578
-4.72375,-0.0388242
-4.7225,-0.0704895
-4.72125,-0.0830053
-4.72,-0.0490843
-4.71875,-0.0191722
-4.7175,0.0100341
-4.71625,0.0258021
-4.715,0.0331832
-4.71375,0.0385761
-4.7125,0.0729402
-4.71125,0.0844457
-4.71,0.0434526
-4.70875,0.0145461
-4.7075,-0.0109512
-4.70625,-0.0257134
-4.705,-0.0330946
-4.70375,-0.0388242
-4.7025,-0.0701574
-4.70125,-0.0830053
-4.7,-0.0494211
-4.69875,-0.0191722
-4.6975,0.0100341
-4.69625,0.0258067
-4.695,0.0328465
-4.69375,0.0385761
-4.6925,0.0729402
-4.69125,0.0844411
-4.69,0.0437893
-4.68875,0.0148828
-4.6875,-0.0106144
-4.68625,-0.0257134
-4.685,-0.0327578
-4.68375,-0.0384875
-4.6825,-0.0698206
-4.68125,-0.0833421
-4.68,-0.0497579
-4.67875,-0.0195089
-4.6775,0.00936059
-4.67625,0.0254699
-4.675,0.0331832
-4.67375,0.0385761
-4.6725,0.0726034
-4.67125,0.0847825
-4.67,0.0441261
-4.66875,0.0152196
-4.6675,-0.0106144
-4.66625,-0.0253767
-4.665,-0.032421
-4.66375,-0.0384875
-4.6625,-0.0694839
-4.66125,-0.0836789
-4.66,-0.0500946
-4.65875,-0.0195043
-4.6575,0.00969736
-4.65625,0.0254699
-4.655,0.0328465
-4.65375,0.0382394
-4.6525,0.0719299
-4.65125,0.0851146
-4.65,0.0447996
-4.64875,0.0155564
-4.6475,-0.0102776
-4.64625,-0.0253767
-4.645,-0.0327578
-4.64375,-0.0388242
-4.6425,-0.0694839
-4.64125,-0.0833421
-4.64,-0.0500946
-4.63875,-0.0195043
-4.6375,0.00936059
-4.63625,0.0254699
-4.635,0.0328465
-4.63375,0.0382394
-4.6325,0.0722666
-4.63125,0.0851146
-4.63,0.0447996
-4.62875,0.0155564
-4.6275,-0.0102776
-4.62625,-0.085681
-4.625,-0.0615216
-4.62375,-0.0285785
-4.6225,0.00163806
-4.62125,0.021438
-4.62,0.0308351
-4.61875,0.0365417
-4.6175,0.0587867
-4.61625,0.0867753
-4.615,0.0579058
-4.61375,0.0229421
-4.6125,-0.00357001
-4.61125,-0.0223643
-4.61,-0.0310878
-4.60875,-0.0371312
-4.6075,-0.0563453
-4.60625,-0.0850028
-4.605,-0.0618584
-4.60375,-0.0289153
-4.6025,0.0013013
-4.60125,0.021438
-4.6,0.0308351
-4.59875,0.036883
-4.5975,0.0584546
-4.59625,0.0867707
-4.595,0.0582426
-4.59375,0.0232789
-4.5925,-0.00289648
-4.59125,-0.0216861
-4.59,-0.0304097
-4.58875,-0.0371312
-4.5875,-0.0563453
-4.58625,-0.0853396
-4.585,-0.0621951
-4.58375,-0.0289153
-4.5825,0.00164268
-4.58125,0.0217794
-4.58,0.0308351
-4.57875,0.036883
-4.5775,0.0581178
-4.57625,0.0867707
-4.575,0.0585793
-4.57375,0.0236157
-4.5725,-0.00289648
-4.57125,-0.0216907
-4.57,-0.0307465
-4.56875,-0.0371312
-4.5675,-0.0556718
-4.56625,-0.0853396
-4.565,-0.0625319
-4.56375,-0.0295888
-4.5625,0.000964531
-4.56125,0.0211012
-4.56,0.0304983
-4.55875,0.0365417
-4.5575,0.0581132
-4.55625,0.0864339
-4.555,0.0592529
-4.55375,0.0236157
-4.5525,-0.00289648
-4.55125,-0.0216907
-4.55,-0.0307511
-4.54875,-0.0371312
-4.5475,-0.055335
-4.54625,-0.0853396
-4.545,-0.0628687
-4.54375,-0.0295888
-4.5425,0.000969151
-4.54125,0.0214426
-4.54,0.0311765
-4.53875,0.036883
-4.5375,0.0574397
-4.53625,0.0864339
-4.535,0.0595896
-4.53375,0.0239524
-4.5325,-0.0029011
-4.53125,-0.0216907
-4.53,-0.0307511
-4.52875,-0.0371312
-4.5275,-0.055335
-4.52625,-0.0853396
-4.525,-0.0632054
-4.52375,-0.0299256
-4.5225,0.000632384
-4.52125,0.0207645
-4.52,0.0304983
-4.51875,0.0365417
-4.5175,0.0574397
-4.51625,0.0864339
-4.515,0.059585
-4.51375,0.0239524
-4.5125,-0.0029011
-4.51125,-0.0216907
-4.51,-0.0307511
-4.50875,-0.0371312
-4.5075,-0.0549983
-4.50625,-0.0849982
-4.505,-0.0635422
-4.50375,-0.0302624
-4.5025,0.000632384
-4.50125,0.0211058
-4.5,0.0304983
-4.49875,0.0365417
-4.4975,0.0571029
-4.49625,0.0864339
-4.495,0.0599218
-4.49375,0.0239478
-4.4925,-0.00256433
-4.49125,-0.021354
-4.49,-0.0304143
-4.48875,-0.0371312
-4.4875,-0.0549983
-4.48625,-0.0849982
-4.485,-0.0635376
-4.48375,-0.0305991
-4.4825,0.000295618
-4.48125,0.0211058
-4.48,0.0304983
-4.47875,0.0362049
-4.4775,0.0564294
-4.47625,0.0864339
-4.475,0.0602586
-4.47375,0.0242846
-4.4725,-0.00222756
-4.47125,-0.021354
-4.47,-0.0304143
-4.46875,-0.0371312
-4.4675,-0.0549983
-4.46625,-0.0849982
-4.465,-0.0635376
-4.46375,-0.0302577
-4.4625,0.000295618
-4.46125,0.0207691
-4.46,0.0308397
-4.45875,0.0365417
-4.4575,0.0564294
-4.45625,0.0864339
-4.455,0.0605953
-4.45375,0.0242846
-4.4525,-0.00222756
-4.45125,-0.021354
-4.45,-0.0307511
-4.44875,-0.0371312
-4.4475,-0.0543247
-4.44625,-0.0846615
-4.445,-0.0642111
-4.44375,-0.0305945
-4.4425,-4.11489e-05
-4.44125,0.0207691
-4.44,0.0308397
-4.43875,0.0365417
-4.4375,0.0564294
-4.43625,0.0864339
-4.435,0.0609321
-4.43375,0.0246214
-4.4325,-0.0018908
-4.43125,-0.021354
-4.43,-0.0304143
-4.42875,-0.0371312
-4.4275,-0.0543247
-4.42625,-0.0846615
-4.425,-0.0645479
-4.42375,-0.0305945
-4.4225,-3.65285e-05
-4.42125,0.0204323
-4.42,0.030503
-4.41875,0.0362049
-4.4175,0.0560926
-4.41625,0.0864339
-4.415,0.0612689
-4.41375,0.0249581
-4.4125,-0.00223218
-4.41125,-0.0210172
-4.41,-0.0304143
-4.40875,-0.0371312
-4.4075,-0.053988
-4.40625,-0.0849982
-4.405,-0.0645479
-4.40375,-0.0309313
-4.4025,-0.000373295
-4.40125,0.0204323
-4.4,0.030503
-4.39875,0.0362049
-4.3975,0.0560926
-4.39625,0.0864339
-4.395,0.0616056
-4.39375,0.0249581
-4.3925,-0.00189542
-4.39125,-0.0210172
-4.39,-0.0304143
-4.38875,-0.0371312
-4.3875,-0.0536512
-4.38625,-0.0846615
-4.385,-0.0648846
-4.38375,-0.0309313
-4.3825,-0.000710062
-4.38125,0.0207737
-4.38,0.030503
-4.37875,0.0362049
-4.3775,0.0554191
-4.37625,0.0864339
-4.375,0.061601
-4.37375,0.0252949
-4.3725,-0.00155865
-4.37125,-0.0210172
-4.37,-0.0304143
-4.36875,-0.0371312
-4.3675,-0.0533144
-4.36625,-0.0846615
-4.365,-0.06488
-4.36375,-0.0316048
-4.3625,-0.000710062
-4.36125,0.0200955
-4.36,0.0301662
-4.35875,0.0362049
-4.3575,0.0550823
-4.35625,0.0864339
-4.355,0.0619378
-4.35375,0.0252949
-4.3525,-0.00155865
-4.35125,-0.0206804
-4.35,-0.0304143
-4.34875,-0.0371312
-4.3475,-0.0533144
-4.34625,-0.0846615
-4.345,-0.0652168
-4.34375,-0.0316048
-4.3425,-0.00104683
-4.34125,0.0204369
-4.34,0.030503
-4.33875,0.0362049
-4.3375,0.0550823
-4.33625,0.0857558
-4.335,0.0626113
-4.33375,0.0256317
-4.3325,-0.00122188
-4.33125,-0.0210218
-4.33,-0.0300775
-4.32875,-0.0371312
-4.3275,-0.0529777
-4.32625,-0.0846615
-4.325,-0.0655535
-4.32375,-0.0319416
