Date_Time,Frequency,BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
20190714_2035_00,41000,0,0,0,363.742810718381,363.742810718381,0,0,0,0,0
20190714_2035_00,41175.9,0,0,0,363.892863308292,363.892863308292,0,0,0,0,0
20190714_2035_00,41351.8,0,0,0,363.929447181273,363.929447181273,0,0,0,0,0
20190714_2035_00,41527.7,0,0,0,363.836012999765,363.836012999765,0,0,0,0,0
20190714_2035_00,41703.6,0,0,0,363.91589719508,363.91589719508,0,0,0,0,0
20190714_2035_00,41879.5,0,0,0,363.756873182179,363.756873182179,0,0,0,0,0
20190714_2035_00,42055.4,0,0,0,363.429696294438,363.429696294438,0,0,0,0,0
20190714_2035_00,42231.3,0,0,0,363.637254465484,363.637254465484,0,0,0,0,0
20190714_2035_00,42407.2,0,0,0,363.862670351984,363.862670351984,0,0,0,0,0
20190714_2035_00,42583.1,0,0,0,363.81289936968,363.81289936968,0,0,0,0,0
20190714_2035_00,42759,0,0,0,363.793012924171,363.793012924171,0,0,0,0,0
20190714_2035_00,42934.9,0,0,0,363.790695501041,363.790695501041,0,0,0,0,0
20190714_2035_00,43110.8,0,0,0,363.824975576641,363.824975576641,0,0,0,0,0
20190714_2035_00,43286.7,0,0,0,363.463303339386,363.463303339386,0,0,0,0,0
20190714_2035_00,43462.6,0,0,0,363.82506859797,363.82506859797,0,0,0,0,0
20190714_2035_00,43638.5,0,0,0,363.974178845066,363.974178845066,0,0,0,0,0
20190714_2035_00,43814.4,0,0,0,363.849463626786,363.849463626786,0,0,0,0,0
20190714_2035_00,43990.3,0,0,0,363.730867789317,363.730867789317,0,0,0,0,0
20190714_2035_00,44166.2,0,0,0,363.676995193557,363.676995193557,0,0,0,0,0
20190714_2035_00,44342.1,0,0,0,364.062113681559,364.062113681559,0,0,0,0,0
20190714_2035_00,44518,0,0,0,364.071056467376,364.071056467376,0,0,0,0,0
20190714_2035_00,44693.9,0,0,0,364.046765532372,364.046765532372,0,0,0,0,0
20190714_2035_00,44869.8,0,0,0,364.039901409906,364.039901409906,0,0,0,0,0
20190714_2035_00,45045.7,0,0,0,364.226908739638,364.226908739638,0,0,0,0,0
20190714_2035_00,45221.6,0,0,0,364.049870695076,364.049870695076,0,0,0,0,0
20190714_2035_00,45397.5,0,0,0,363.721111225421,363.721111225421,0,0,0,0,0
20190714_2035_00,45573.4,0,0,0,363.931712669388,363.931712669388,0,0,0,0,0
20190714_2035_00,45749.3,0,0,0,364.159352993175,364.159352993175,0,0,0,0,0
20190714_2035_00,45925.2,0,0,0,364.190493741402,364.190493741402,0,0,0,0,0
20190714_2035_00,46101.1,0,0,0,364.147307944122,364.147307944122,0,0,0,0,0
20190714_2035_00,46277,0,0,0,364.113179188047,364.113179188047,0,0,0,0,0
