Frequency (Hz),Channel 1 Magnitude (dB)
41000,-0.230767
41034.1,-0.14971
41068.3,-0.254676
41102.5,-0.110808
41136.7,-0.163672
41171,-0.220263
41205.3,-0.247969
41239.6,-0.231971
41273.9,-0.321276
41308.3,-0.300376
41342.7,-0.273842
41377.1,-0.363624
41411.5,-0.310481
41446,-0.257388
41480.5,-0.286103
41515.1,-0.253295
41549.6,-0.379541
41584.2,-0.360282
41618.9,-0.281832
41653.5,-0.401419
41688.2,-0.368142
41722.9,-0.351912
41757.6,-0.20702
41792.4,-0.287567
41827.2,-0.383597
41862,-0.355064
41896.9,-0.44576
41931.8,-0.199742
41966.7,-0.273919
42001.6,-0.310851
42036.6,-0.293473
42071.6,-0.304667
42106.6,-0.343694
42141.7,-0.368947
42176.8,-0.343219
42211.9,-0.255237
42247.1,-0.398306
42282.2,-0.282934
42317.4,-0.37072
42352.7,-0.367133
42387.9,-0.474313
42423.2,-0.431916
42458.6,-0.267571
42493.9,-0.407433
42529.3,-0.389735
42564.7,-0.487021
42600.2,-0.367175
42635.6,-0.441303
42671.1,-0.452564
42706.7,-0.39121
42742.2,-0.423722
42777.8,-0.458568
42813.4,-0.404265
42849.1,-0.404065
42884.7,-0.354551
42920.5,-0.36833
42956.2,-0.355106
42992,-0.427394
43027.8,-0.400967
43063.6,-0.341756
43099.4,-0.341059
43135.3,-0.388792
43171.2,-0.378831
43207.2,-0.310606
43243.2,-0.281467
43279.2,-0.338686
43315.2,-0.426354
43351.3,-0.384466
43387.4,-0.328945
43423.5,-0.435054
43459.7,-0.317704
43495.8,-0.302771
43532.1,-0.345226
43568.3,-0.431224
43604.6,-0.412712
43640.9,-0.332843
43677.2,-0.403272
43713.6,-0.416348
43750,-0.419352
43786.4,-0.361652
43822.9,-0.252478
43859.4,-0.364032
43895.9,-0.374285
43932.4,-0.371285
43969,-0.401143
44005.6,-0.291415
44042.3,-0.345416
44078.9,-0.381484
44115.6,-0.295709
44152.4,-0.427312
44189.1,-0.321302
44225.9,-0.384095
